iter	F1	Logloss	Accuracy	Recall	Precision
0	0.495423341	0.689821383	0.6273764259	0.4247874428	0.5942360476
1	0.4986574607	0.6864880667	0.6318828334	0.4251144539	0.602968460122	0.5208372619	0.6831208306	0.6421630756	0.4516023545	0.615144766133	0.518291515	0.6800258398	0.6458245318	0.4424460432	0.625520111
4	0.5159799769	0.676909804	0.645965357	0.4381948986	0.627340825	5	0.5178743961	0.6742094819	0.6486410365	0.4381948986	0.6329711856	6	0.5157159488	0.671601742	0.6485002112	0.4345977763	0.634064885577	0.5150281171	0.6690470154	0.6477960851	0.4342707652	0.632682229688	0.5202401704	0.6661745787	0.6511758907	0.439175932	0.6380047506
9	0.5138370952	0.6634078247	0.6511758907	0.428057554	0.6426116838
10	0.5170655159	0.6611030049	0.6532882693	0.431000654	0.6460784314
11	0.5119873192	0.6591673337	0.653147444	0.4224983649	0.6495726496
12	0.5125370188	0.6571533419	0.6523024926	0.4244604317	0.6467364225113	0.5132254244	0.6551292521	0.6527249683	0.4251144539	0.6474103586114	0.5175731396	0.653068242	0.6539923954	0.431000654	0.6476658477
15	0.5161417323	0.6510632988	0.6538515702	0.4287115762	0.6483679525
16	0.5169158143	0.6494333028	0.6541332207	0.4296926095	0.6485686081
17	0.521927237	0.6477921642	0.6576538516	0.4339437541	0.6546620622
18	0.5333073627	0.6461103658	0.6625827348	0.4476782211	0.6594412331
19	0.5327357755	0.6445437165	0.6623010844	0.4470241988	0.6591128255
20	0.5328652233	0.6431124264	0.6627235601	0.4466971877	0.6602223296
21	0.5307797538	0.6417730335	0.6618786086	0.4440810988	0.6595434677222	0.53442559	0.6403750978	0.6638501619	0.4480052322	0.6621556307
23	0.5361387103	0.6387520574	0.6646951134	0.4499672989	0.6631325301
24	0.535860856	0.6371243287	0.6655400648	0.4483322433	0.6658572122
25	0.5387165984	0.6358995544	0.6669483171	0.4516023545	0.6674722088
26	0.5408242613	0.6346937956	0.6673707928	0.4548724657	0.6668264621
27	0.5335162681	0.6335654387	0.6648359386	0.4450621321	0.665828	0.528	0.5372142997	0.6326681128	0.6663850162	0.4496402878	0.667129	0.529	0.5436930827	0.6314911575	0.6683565695	0.4587965991	0.6671430	0.330	0.5484305796	0.630483793	0.6697648219	0.4656638326	0.66697831	0.31	0.5516314779	0.6295833657	0.671032249	0.4699149771	0.6677509294
7765152
